Code,Name,Mentions,Latitude,Longitude
ZWE,Zimbabwe,2813,-20,30
ARG,Argentina,1233,-34,-64
KHM,Cambodia,3235,13,105
BHR,Bahrain,616,26,50.55
VNM,Vietnam,1330,16,106
MNG,Mongolia,1011,46,105
SMR,San Marino,330,43.7667,12.4167
FJI,Fiji Islands,11,-18,175
GEO,Georgia,1130,42,43.5
BWA,Botswana,482,-22,24
GUY,Guyana,606,5,-59
MWI,Malawi,761,-13.5,34
VUT,Vanuatu,596,-16,167
CRI,Costa Rica,861,10,-84
BLR,Belarus,519,53,28
MRT,Mauritania,679,20,-12
EGY,Egypt,2580,27,30
KGZ,Kyrgyzstan,371,41,75
BEL,Belgium,605,50.8333,4
GBR,United Kingdom,1573,54,-2
KNA,Saint Kitts and Nevis,233,17.3333,-62.75
TJK,Tajikistan,695,39,71
BGD,Bangladesh,1380,24,90
CUB,Cuba,3294,21.5,-80
BRN,Brunei,312,4.5,114.6667
GAB,Gabon,704,-1,11.75
BHS,Bahamas,1091,24.25,-76
ITA,Italy,950,42.8333,12.8333
BFA,Burkina Faso,375,13,-2
MUS,Mauritius,775,-20.2833,57.55
ETH,Ethiopia,1691,8,38
GTM,Guatemala,1694,15.5,-90.25
POL,Poland,1123,52,20
ESP,Spain,1453,40,-4
WSM,Samoa,398,-13.5833,-172.3333
MHL,Marshall Islands,493,9,168
NAM,Namibia,10307,-22,17
BOL,Bolivia,1389,-17,-65
IRN,Iran,5376,32,53
TUN,Tunisia,996,34,9
STP,Sao Tome and Principe,365,1,7
LBR,Liberia,2121,6.5,-9.5
HND,Honduras,1006,15,-86.5
PSE,Palestine,6412,32,35.25
GIN,Guinea,4115,11,-10
DJI,Djibouti,589,11.5,43
MKD,Macedonia,574,41.8333,22
TKM,Turkmenistan,494,40,60
GRC,Greece,953,39,22
SWE,Sweden,608,62,15
PLW,Palau,366,7.5,134.5
BRA,Brazil,1647,-10,-55
VEN,Venezuela,1169,8,-66
LVA,Latvia,847,57,25
DEU,Germany,3008,51,9
EU,European Union,3310,Unknown Latitude,Unknown Longitude
SLB,Solomon Islands,982,-8,159
AUT,Austria,1089,47.3333,13.3333
ECU,Ecuador,1200,-2,-77.5
BRB,Barbados,1185,13.1667,-59.5333
MOZ,Mozambique,2035,-18.25,35
KOR,South Korea,1133,37,127.5
JAM,Jamaica,646,18.25,-77.5
IDN,Indonesia,1567,-5,120
YEM,Yemen,2330,15,48
BTN,Bhutan,389,27.5,90.5
PAK,Pakistan,2656,30,70
PRT,Portugal,1939,39.5,-8
LTU,Lithuania,496,56,24
NGA,Nigeria,1066,10,8
LBY,Libyan Arab Jamahiriya,274,25,17
VAT,Holy See (Vatican City State),0,41.9,12.45
KEN,Kenya,1173,1,38
LSO,Lesotho,525,-29.5,28.5
VCT,Saint Vincent and the Grenadines,382,13.25,-61.2
TTO,Trinidad and Tobago,676,11,-61
UGA,Uganda,1155,1,32
JOR,Jordan,1265,31,36
BEN,Benin,630,9.5,2.25
RUS,Russian Federation,357,60,100
LAO,Laos,797,18,105
DDR,East Germany,11,Unknown Latitude,Unknown Longitude
ROU,Romania,8954,46,25
NPL,Nepal,911,28,84
BLZ,Belize,1119,17.25,-88.75
GNB,Guinea-Bissau,1222,12,-15
CHE,Switzerland,357,47,8
MAR,Morocco,1493,32,-5
KWT,Kuwait,2210,29.3375,47.6581
PNG,Papua New Guinea,848,-6,147
CAF,Central African Republic,695,7,21
COM,Comoros,673,-12.1667,44.25
GMB,Gambia,454,13.4667,-16.5667
MLT,Malta,1076,35.8333,14.5833
NOR,Norway,591,62,10
ATG,Antigua and Barbuda,323,17.05,-61.8
MDA,Moldova,805,47,29
SVN,Slovenia,276,46,15
KIR,Kiribati,270,1.4167,173
IRQ,Iraq,10127,33,44
